LSOA code,LSOA name,forecast_month,pred_next,fill_color
E01018313,Cheshire West and Chester 031A,2026-02-01,0.41495586271514073,"[255, 244, 244, 180]"
E01018317,Cheshire West and Chester 031E,2026-02-01,0.26904782232913094,"[255, 244, 244, 180]"
E01018330,Cheshire West and Chester 034D,2026-02-01,0.41760805733878614,"[255, 244, 244, 180]"
E01018332,Cheshire West and Chester 043A,2026-02-01,0.3753132159967474,"[255, 244, 244, 180]"
E01018335,Cheshire West and Chester 046A,2026-02-01,0.23854996305629786,"[255, 244, 244, 180]"
E01018339,Cheshire West and Chester 047A,2026-02-01,0.6020434685186075,"[255, 243, 243, 180]"
E01018352,Cheshire West and Chester 044B,2026-02-01,0.2684326987964766,"[255, 244, 244, 180]"
E01018357,Cheshire West and Chester 047D,2026-02-01,0.2685417507135636,"[255, 244, 244, 180]"
E01018373,Cheshire West and Chester 047E,2026-02-01,0.25321660510778154,"[255, 244, 244, 180]"
E01018552,Cheshire West and Chester 011D,2026-02-01,0.23854421796564337,"[255, 244, 244, 180]"
E01028864,Shropshire 004A,2026-02-01,0.3740769689066879,"[255, 244, 244, 180]"
E01028866,Shropshire 004C,2026-02-01,0.2532200418985922,"[255, 244, 244, 180]"
E01028920,Shropshire 003D,2026-02-01,0.28493065942803103,"[255, 244, 244, 180]"
E01028925,Shropshire 003F,2026-02-01,0.23854421796564337,"[255, 244, 244, 180]"
W01000003,Isle of Anglesey 001A,2026-02-01,15.801669106446678,"[255, 218, 218, 180]"
W01000004,Isle of Anglesey 001B,2026-02-01,4.481118775022669,"[255, 237, 237, 180]"
W01000005,Isle of Anglesey 005A,2026-02-01,8.122796466431755,"[255, 231, 231, 180]"
W01000006,Isle of Anglesey 006A,2026-02-01,3.5418254742389874,"[255, 239, 239, 180]"
W01000007,Isle of Anglesey 009A,2026-02-01,4.393718843757897,"[255, 237, 237, 180]"
W01000008,Isle of Anglesey 008A,2026-02-01,4.203106293727337,"[255, 237, 237, 180]"
W01000009,Isle of Anglesey 007C,2026-02-01,8.950232886308518,"[255, 229, 229, 180]"
W01000010,Isle of Anglesey 002A,2026-02-01,5.4960380498372325,"[255, 235, 235, 180]"
W01000011,Isle of Anglesey 008B,2026-02-01,13.380921112987467,"[255, 222, 222, 180]"
W01000012,Isle of Anglesey 006B,2026-02-01,17.730693319173525,"[255, 215, 215, 180]"
W01000013,Isle of Anglesey 005B,2026-02-01,4.418265036028893,"[255, 237, 237, 180]"
W01000014,Isle of Anglesey 006C,2026-02-01,12.795517446566473,"[255, 223, 223, 180]"
W01000015,Isle of Anglesey 008C,2026-02-01,4.6802897657994516,"[255, 237, 237, 180]"
W01000016,Isle of Anglesey 003A,2026-02-01,30.679210190622925,"[255, 193, 193, 180]"
W01000017,Isle of Anglesey 003B,2026-02-01,15.057509871436155,"[255, 219, 219, 180]"
W01000018,Isle of Anglesey 001C,2026-02-01,5.564918907683054,"[255, 235, 235, 180]"
W01000019,Isle of Anglesey 005C,2026-02-01,3.6528022855253006,"[255, 238, 238, 180]"
W01000021,Isle of Anglesey 002C,2026-02-01,6.154420076172417,"[255, 234, 234, 180]"
W01000022,Isle of Anglesey 004A,2026-02-01,4.7336010616574065,"[255, 237, 237, 180]"
W01000023,Isle of Anglesey 007D,2026-02-01,6.134019314315103,"[255, 234, 234, 180]"
W01000024,Isle of Anglesey 007E,2026-02-01,6.607897163146625,"[255, 233, 233, 180]"
W01000025,Isle of Anglesey 009B,2026-02-01,9.200454714418088,"[255, 229, 229, 180]"
W01000026,Isle of Anglesey 005D,2026-02-01,3.467548723489702,"[255, 239, 239, 180]"
W01000027,Isle of Anglesey 009C,2026-02-01,7.385981782073452,"[255, 232, 232, 180]"
W01000028,Isle of Anglesey 001D,2026-02-01,5.50878908172235,"[255, 235, 235, 180]"
W01000029,Isle of Anglesey 003C,2026-02-01,20.339891253490173,"[255, 210, 210, 180]"
W01000030,Isle of Anglesey 003D,2026-02-01,16.90176820592705,"[255, 216, 216, 180]"
W01000031,Isle of Anglesey 001E,2026-02-01,4.877847090295923,"[255, 236, 236, 180]"
W01000033,Isle of Anglesey 003E,2026-02-01,15.90271053863737,"[255, 218, 218, 180]"
W01000034,Isle of Anglesey 004B,2026-02-01,7.21502159420033,"[255, 232, 232, 180]"
W01000035,Isle of Anglesey 005E,2026-02-01,7.542638452827461,"[255, 232, 232, 180]"
W01000036,Isle of Anglesey 003F,2026-02-01,11.142102999713266,"[255, 226, 226, 180]"
W01000037,Isle of Anglesey 003G,2026-02-01,6.517022674061731,"[255, 234, 234, 180]"
W01000038,Isle of Anglesey 009D,2026-02-01,8.312548377551643,"[255, 231, 231, 180]"
W01000040,Isle of Anglesey 004D,2026-02-01,5.991954496793475,"[255, 234, 234, 180]"
W01000041,Isle of Anglesey 006D,2026-02-01,19.125741682192128,"[255, 212, 212, 180]"
W01000042,Isle of Anglesey 008D,2026-02-01,6.104070035077402,"[255, 234, 234, 180]"
W01000044,Isle of Anglesey 004F,2026-02-01,1.1278251679213103,"[255, 243, 243, 180]"
W01000047,Gwynedd 011A,2026-02-01,4.181653001653152,"[255, 237, 237, 180]"
W01000050,Gwynedd 003A,2026-02-01,7.297888487663943,"[255, 232, 232, 180]"
W01000051,Gwynedd 015A,2026-02-01,9.441677947228445,"[255, 229, 229, 180]"
W01000052,Gwynedd 004A,2026-02-01,2.387820785903637,"[255, 240, 240, 180]"
W01000053,Gwynedd 004B,2026-02-01,2.2548952634517185,"[255, 241, 241, 180]"
W01000054,Gwynedd 007A,2026-02-01,2.7756476402674837,"[255, 240, 240, 180]"
W01000056,Gwynedd 009A,2026-02-01,18.436691894686476,"[255, 214, 214, 180]"
W01000057,Gwynedd 016C,2026-02-01,4.682278991835268,"[255, 237, 237, 180]"
W01000059,Gwynedd 006A,2026-02-01,31.613451808734723,"[255, 192, 192, 180]"
W01000060,Gwynedd 015B,2026-02-01,2.950232018105065,"[255, 240, 240, 180]"
W01000061,Gwynedd 011B,2026-02-01,8.118873892700508,"[255, 231, 231, 180]"
W01000062,Gwynedd 001A,2026-02-01,69.44948717021961,"[255, 128, 128, 180]"
W01000063,Gwynedd 005A,2026-02-01,9.306778708288977,"[255, 229, 229, 180]"
W01000064,Gwynedd 002A,2026-02-01,26.902187942075425,"[255, 199, 199, 180]"
W01000065,Gwynedd 009B,2026-02-01,6.77706298896124,"[255, 233, 233, 180]"
W01000066,Gwynedd 010A,2026-02-01,3.283071037330595,"[255, 239, 239, 180]"
W01000067,Gwynedd 016D,2026-02-01,10.164666228183686,"[255, 227, 227, 180]"
W01000068,Gwynedd 016E,2026-02-01,8.0511428696239,"[255, 231, 231, 180]"
W01000070,Gwynedd 012A,2026-02-01,4.213758189573263,"[255, 237, 237, 180]"
