LSOA code,LSOA name,lat_med,lon_med
E01018313,Cheshire West and Chester 031A,53.203319,-2.940663
E01018317,Cheshire West and Chester 031E,53.198433,-2.935586
E01018330,Cheshire West and Chester 034D,53.193526,-2.922801
E01018332,Cheshire West and Chester 043A,53.179835,-2.919335
E01018339,Cheshire West and Chester 047A,53.094172,-2.896347
E01018352,Cheshire West and Chester 044B,53.174229,-2.924795
E01018357,Cheshire West and Chester 047D,52.9929885,-2.7798439999999998
E01018373,Cheshire West and Chester 047E,53.039515,-2.844995
E01018552,Cheshire West and Chester 011D,53.283801,-2.826409
E01028864,Shropshire 004A,52.950975,-2.962415
E01028920,Shropshire 003D,52.936281,-3.027437
E01028925,Shropshire 003F,52.926461,-3.0494
W01000003,Isle of Anglesey 001A,53.409531,-4.344184
W01000004,Isle of Anglesey 001B,53.41136,-4.359447
W01000005,Isle of Anglesey 005A,53.2642885,-4.092721
W01000006,Isle of Anglesey 006A,53.263918,-4.362224
W01000007,Isle of Anglesey 009A,53.228589,-4.364968
W01000008,Isle of Anglesey 008A,53.2226155,-4.207892
W01000009,Isle of Anglesey 007C,53.258614,-4.427237
W01000010,Isle of Anglesey 002A,53.319644,-4.230097
W01000011,Isle of Anglesey 008B,53.225386,-4.163459
W01000012,Isle of Anglesey 006B,53.254672,-4.308657
W01000013,Isle of Anglesey 005B,53.244471,-4.147964
W01000014,Isle of Anglesey 006C,53.2590045,-4.310784
W01000015,Isle of Anglesey 008C,53.222411,-4.202528
W01000016,Isle of Anglesey 003A,53.310321,-4.633308
W01000017,Isle of Anglesey 003B,53.303084,-4.630347
W01000018,Isle of Anglesey 001C,53.4112675,-4.454944
W01000019,Isle of Anglesey 005C,53.309402,-4.224694
W01000021,Isle of Anglesey 002C,53.386137,-4.3194795
W01000022,Isle of Anglesey 004A,53.352594,-4.533438
W01000023,Isle of Anglesey 007D,53.292954,-4.503092
W01000024,Isle of Anglesey 007E,53.267934,-4.527888
W01000025,Isle of Anglesey 009B,53.22225,-4.274771
W01000026,Isle of Anglesey 005D,53.29354,-4.08745
W01000027,Isle of Anglesey 009C,53.180162,-4.2696439999999996
W01000028,Isle of Anglesey 001D,53.330443,-4.376422
W01000029,Isle of Anglesey 003C,53.303665,-4.6219114999999995
W01000030,Isle of Anglesey 003D,53.3064,-4.6371525
W01000031,Isle of Anglesey 001E,53.391205,-4.458069
W01000033,Isle of Anglesey 003E,53.307885,-4.624158
W01000034,Isle of Anglesey 004B,53.311862,-4.6498835
W01000035,Isle of Anglesey 005E,53.288332,-4.217469
W01000036,Isle of Anglesey 003F,53.313141,-4.633198
W01000037,Isle of Anglesey 003G,53.313936,-4.637312
W01000038,Isle of Anglesey 009D,53.165227,-4.358418
W01000040,Isle of Anglesey 004D,53.293557,-4.618942
W01000041,Isle of Anglesey 006D,53.257323,-4.300811
W01000042,Isle of Anglesey 008D,53.230215,-4.169227
W01000044,Isle of Anglesey 004F,53.2904295,-4.5661895
W01000047,Gwynedd 011A,52.904514,-4.383429
W01000050,Gwynedd 003A,53.217823,-4.096828
W01000051,Gwynedd 015A,52.910662,-3.598732
W01000052,Gwynedd 004A,53.166059,-4.203162
W01000053,Gwynedd 004B,53.140756,-4.1735285
W01000054,Gwynedd 007A,53.115028,-4.265868
W01000056,Gwynedd 009A,52.993494,-3.942492
W01000057,Gwynedd 016C,52.761105,-3.890113
W01000059,Gwynedd 006A,53.142238,-4.26446
W01000060,Gwynedd 015B,52.674922,-3.709148
W01000061,Gwynedd 011B,52.919001,-4.2371655
W01000062,Gwynedd 001A,53.226757,-4.125754
W01000063,Gwynedd 005A,53.145924,-4.126037
W01000064,Gwynedd 002A,53.213867,-4.14707
W01000065,Gwynedd 009B,52.993388,-3.932282
W01000066,Gwynedd 010A,52.972905,-4.23865
W01000067,Gwynedd 016D,52.743326,-3.88492
W01000068,Gwynedd 016E,52.74104,-3.882897
W01000070,Gwynedd 012A,52.896133,-4.453022
W01000071,Gwynedd 003B,53.190486,-4.059499499999999
W01000072,Gwynedd 002B,53.220557,-4.149458
W01000073,Gwynedd 008A,53.083966,-4.306898
W01000074,Gwynedd 013B,52.863535,-4.108406
W01000075,Gwynedd 002C,53.221058,-4.139431
W01000076,Gwynedd 001B,53.233431,-4.122755
W01000077,Gwynedd 001C,53.230674,-4.120059
W01000078,Gwynedd 011C,52.991972,-4.426602
W01000080,Gwynedd 014C,52.844659,-4.495796
W01000081,Gwynedd 005B,53.119221,-4.126668
W01000082,Gwynedd 015C,52.922232,-3.516824
W01000083,Gwynedd 015D,52.897756,-3.63078
W01000084,Gwynedd 014D,52.814395,-4.515035
W01000085,Gwynedd 017C,52.696092,-4.052847
W01000086,Gwynedd 008B,53.0418305,-4.282019
W01000087,Gwynedd 004C,53.148465,-4.191784
W01000088,Gwynedd 007B,53.092957,-4.271495
W01000089,Gwynedd 011D,52.917249,-4.336296
W01000090,Gwynedd 002D,53.222025,-4.117101
W01000091,Gwynedd 001D,53.2272,-4.114132
W01000092,Gwynedd 001E,53.22615,-4.134853
W01000093,Gwynedd 006B,53.14254,-4.274345
W01000094,Gwynedd 012B,52.930248,-4.552212
W01000095,Gwynedd 012C,52.935109,-4.520507
W01000096,Gwynedd 003C,53.176797,-4.055188
W01000097,Gwynedd 003D,53.18082,-4.063135
W01000098,Gwynedd 006C,53.139069,-4.263026
