LSOA code,LSOA name
E01018339,Cheshire West and Chester 047A
W01000003,Isle of Anglesey 001A
W01000004,Isle of Anglesey 001B
W01000005,Isle of Anglesey 005A
W01000006,Isle of Anglesey 006A
W01000007,Isle of Anglesey 009A
W01000008,Isle of Anglesey 008A
W01000009,Isle of Anglesey 007C
W01000010,Isle of Anglesey 002A
W01000011,Isle of Anglesey 008B
W01000012,Isle of Anglesey 006B
W01000013,Isle of Anglesey 005B
W01000014,Isle of Anglesey 006C
W01000015,Isle of Anglesey 008C
W01000016,Isle of Anglesey 003A
W01000017,Isle of Anglesey 003B
W01000018,Isle of Anglesey 001C
W01000019,Isle of Anglesey 005C
W01000021,Isle of Anglesey 002C
W01000022,Isle of Anglesey 004A
W01000023,Isle of Anglesey 007D
W01000024,Isle of Anglesey 007E
W01000025,Isle of Anglesey 009B
W01000026,Isle of Anglesey 005D
W01000027,Isle of Anglesey 009C
W01000028,Isle of Anglesey 001D
W01000029,Isle of Anglesey 003C
W01000030,Isle of Anglesey 003D
W01000031,Isle of Anglesey 001E
W01000033,Isle of Anglesey 003E
W01000034,Isle of Anglesey 004B
W01000035,Isle of Anglesey 005E
W01000036,Isle of Anglesey 003F
W01000037,Isle of Anglesey 003G
W01000038,Isle of Anglesey 009D
W01000040,Isle of Anglesey 004D
W01000041,Isle of Anglesey 006D
W01000042,Isle of Anglesey 008D
W01000044,Isle of Anglesey 004F
W01000047,Gwynedd 011A
W01000050,Gwynedd 003A
W01000051,Gwynedd 015A
W01000052,Gwynedd 004A
W01000053,Gwynedd 004B
W01000054,Gwynedd 007A
W01000056,Gwynedd 009A
W01000057,Gwynedd 016C
W01000059,Gwynedd 006A
W01000061,Gwynedd 011B
W01000062,Gwynedd 001A
W01000063,Gwynedd 005A
W01000064,Gwynedd 002A
W01000065,Gwynedd 009B
W01000066,Gwynedd 010A
W01000067,Gwynedd 016D
W01000068,Gwynedd 016E
W01000071,Gwynedd 003B
W01000072,Gwynedd 002B
W01000073,Gwynedd 008A
W01000074,Gwynedd 013B
W01000075,Gwynedd 002C
W01000076,Gwynedd 001B
W01000077,Gwynedd 001C
W01000078,Gwynedd 011C
W01000080,Gwynedd 014C
W01000081,Gwynedd 005B
W01000082,Gwynedd 015C
