Month,LSOA code,LSOA name,crime_count
2025-01-01,E01018313,Cheshire West and Chester 031A,0
2025-02-01,E01018313,Cheshire West and Chester 031A,0
2025-03-01,E01018313,Cheshire West and Chester 031A,0
2025-04-01,E01018313,Cheshire West and Chester 031A,0
2025-05-01,E01018313,Cheshire West and Chester 031A,0
2025-06-01,E01018313,Cheshire West and Chester 031A,0
2025-07-01,E01018313,Cheshire West and Chester 031A,0
2025-08-01,E01018313,Cheshire West and Chester 031A,1
2025-09-01,E01018313,Cheshire West and Chester 031A,0
2025-10-01,E01018313,Cheshire West and Chester 031A,0
2025-11-01,E01018313,Cheshire West and Chester 031A,0
2025-12-01,E01018313,Cheshire West and Chester 031A,0
2026-01-01,E01018313,Cheshire West and Chester 031A,0
2025-01-01,E01018317,Cheshire West and Chester 031E,0
2025-02-01,E01018317,Cheshire West and Chester 031E,0
2025-03-01,E01018317,Cheshire West and Chester 031E,0
2025-04-01,E01018317,Cheshire West and Chester 031E,0
2025-05-01,E01018317,Cheshire West and Chester 031E,0
2025-06-01,E01018317,Cheshire West and Chester 031E,0
2025-07-01,E01018317,Cheshire West and Chester 031E,0
2025-08-01,E01018317,Cheshire West and Chester 031E,0
2025-09-01,E01018317,Cheshire West and Chester 031E,0
2025-10-01,E01018317,Cheshire West and Chester 031E,1
2025-11-01,E01018317,Cheshire West and Chester 031E,0
2025-12-01,E01018317,Cheshire West and Chester 031E,0
2026-01-01,E01018317,Cheshire West and Chester 031E,0
2025-01-01,E01018330,Cheshire West and Chester 034D,0
2025-02-01,E01018330,Cheshire West and Chester 034D,0
2025-03-01,E01018330,Cheshire West and Chester 034D,0
2025-04-01,E01018330,Cheshire West and Chester 034D,0
2025-05-01,E01018330,Cheshire West and Chester 034D,1
2025-06-01,E01018330,Cheshire West and Chester 034D,0
2025-07-01,E01018330,Cheshire West and Chester 034D,0
2025-08-01,E01018330,Cheshire West and Chester 034D,0
2025-09-01,E01018330,Cheshire West and Chester 034D,0
2025-10-01,E01018330,Cheshire West and Chester 034D,3
2025-11-01,E01018330,Cheshire West and Chester 034D,0
2025-12-01,E01018330,Cheshire West and Chester 034D,0
2026-01-01,E01018330,Cheshire West and Chester 034D,1
2025-01-01,E01018332,Cheshire West and Chester 043A,0
2025-02-01,E01018332,Cheshire West and Chester 043A,0
2025-03-01,E01018332,Cheshire West and Chester 043A,0
2025-04-01,E01018332,Cheshire West and Chester 043A,0
2025-05-01,E01018332,Cheshire West and Chester 043A,0
2025-06-01,E01018332,Cheshire West and Chester 043A,0
2025-07-01,E01018332,Cheshire West and Chester 043A,0
2025-08-01,E01018332,Cheshire West and Chester 043A,1
2025-09-01,E01018332,Cheshire West and Chester 043A,0
2025-10-01,E01018332,Cheshire West and Chester 043A,0
2025-11-01,E01018332,Cheshire West and Chester 043A,0
2025-12-01,E01018332,Cheshire West and Chester 043A,1
2026-01-01,E01018332,Cheshire West and Chester 043A,0
2025-01-01,E01018339,Cheshire West and Chester 047A,4
2025-02-01,E01018339,Cheshire West and Chester 047A,0
2025-03-01,E01018339,Cheshire West and Chester 047A,1
2025-04-01,E01018339,Cheshire West and Chester 047A,1
2025-05-01,E01018339,Cheshire West and Chester 047A,0
2025-06-01,E01018339,Cheshire West and Chester 047A,0
2025-07-01,E01018339,Cheshire West and Chester 047A,1
2025-08-01,E01018339,Cheshire West and Chester 047A,0
2025-09-01,E01018339,Cheshire West and Chester 047A,2
2025-10-01,E01018339,Cheshire West and Chester 047A,1
2025-11-01,E01018339,Cheshire West and Chester 047A,0
2025-12-01,E01018339,Cheshire West and Chester 047A,0
2026-01-01,E01018339,Cheshire West and Chester 047A,0
2025-01-01,E01018352,Cheshire West and Chester 044B,0
2025-02-01,E01018352,Cheshire West and Chester 044B,0
2025-03-01,E01018352,Cheshire West and Chester 044B,0
2025-04-01,E01018352,Cheshire West and Chester 044B,0
2025-05-01,E01018352,Cheshire West and Chester 044B,0
2025-06-01,E01018352,Cheshire West and Chester 044B,0
2025-07-01,E01018352,Cheshire West and Chester 044B,0
2025-08-01,E01018352,Cheshire West and Chester 044B,0
2025-09-01,E01018352,Cheshire West and Chester 044B,0
2025-10-01,E01018352,Cheshire West and Chester 044B,0
2025-11-01,E01018352,Cheshire West and Chester 044B,1
2025-12-01,E01018352,Cheshire West and Chester 044B,0
2026-01-01,E01018352,Cheshire West and Chester 044B,0
2025-01-01,E01018357,Cheshire West and Chester 047D,0
2025-02-01,E01018357,Cheshire West and Chester 047D,0
2025-03-01,E01018357,Cheshire West and Chester 047D,1
2025-04-01,E01018357,Cheshire West and Chester 047D,0
2025-05-01,E01018357,Cheshire West and Chester 047D,1
2025-06-01,E01018357,Cheshire West and Chester 047D,0
2025-07-01,E01018357,Cheshire West and Chester 047D,0
2025-08-01,E01018357,Cheshire West and Chester 047D,0
2025-09-01,E01018357,Cheshire West and Chester 047D,0
2025-10-01,E01018357,Cheshire West and Chester 047D,0
2025-11-01,E01018357,Cheshire West and Chester 047D,0
2025-12-01,E01018357,Cheshire West and Chester 047D,0
2026-01-01,E01018357,Cheshire West and Chester 047D,0
2025-01-01,E01018373,Cheshire West and Chester 047E,0
2025-02-01,E01018373,Cheshire West and Chester 047E,0
2025-03-01,E01018373,Cheshire West and Chester 047E,1
2025-04-01,E01018373,Cheshire West and Chester 047E,0
2025-05-01,E01018373,Cheshire West and Chester 047E,0
2025-06-01,E01018373,Cheshire West and Chester 047E,0
2025-07-01,E01018373,Cheshire West and Chester 047E,0
2025-08-01,E01018373,Cheshire West and Chester 047E,0
2025-09-01,E01018373,Cheshire West and Chester 047E,0
2025-10-01,E01018373,Cheshire West and Chester 047E,0
2025-11-01,E01018373,Cheshire West and Chester 047E,0
2025-12-01,E01018373,Cheshire West and Chester 047E,0
2026-01-01,E01018373,Cheshire West and Chester 047E,0
2025-01-01,E01018552,Cheshire West and Chester 011D,0
2025-02-01,E01018552,Cheshire West and Chester 011D,0
2025-03-01,E01018552,Cheshire West and Chester 011D,0
2025-04-01,E01018552,Cheshire West and Chester 011D,1
2025-05-01,E01018552,Cheshire West and Chester 011D,0
2025-06-01,E01018552,Cheshire West and Chester 011D,0
2025-07-01,E01018552,Cheshire West and Chester 011D,0
2025-08-01,E01018552,Cheshire West and Chester 011D,0
2025-09-01,E01018552,Cheshire West and Chester 011D,0
2025-10-01,E01018552,Cheshire West and Chester 011D,0
2025-11-01,E01018552,Cheshire West and Chester 011D,0
2025-12-01,E01018552,Cheshire West and Chester 011D,0
2026-01-01,E01018552,Cheshire West and Chester 011D,0
2025-01-01,E01028864,Shropshire 004A,0
2025-02-01,E01028864,Shropshire 004A,0
2025-03-01,E01028864,Shropshire 004A,0
2025-04-01,E01028864,Shropshire 004A,0
2025-05-01,E01028864,Shropshire 004A,0
2025-06-01,E01028864,Shropshire 004A,0
2025-07-01,E01028864,Shropshire 004A,0
2025-08-01,E01028864,Shropshire 004A,1
2025-09-01,E01028864,Shropshire 004A,0
2025-10-01,E01028864,Shropshire 004A,0
2025-11-01,E01028864,Shropshire 004A,0
2025-12-01,E01028864,Shropshire 004A,0
2026-01-01,E01028864,Shropshire 004A,0
2025-01-01,E01028920,Shropshire 003D,0
2025-02-01,E01028920,Shropshire 003D,0
2025-03-01,E01028920,Shropshire 003D,0
2025-04-01,E01028920,Shropshire 003D,0
2025-05-01,E01028920,Shropshire 003D,0
2025-06-01,E01028920,Shropshire 003D,0
2025-07-01,E01028920,Shropshire 003D,0
2025-08-01,E01028920,Shropshire 003D,0
2025-09-01,E01028920,Shropshire 003D,0
2025-10-01,E01028920,Shropshire 003D,1
2025-11-01,E01028920,Shropshire 003D,1
2025-12-01,E01028920,Shropshire 003D,0
2026-01-01,E01028920,Shropshire 003D,0
2025-01-01,E01028925,Shropshire 003F,0
2025-02-01,E01028925,Shropshire 003F,0
2025-03-01,E01028925,Shropshire 003F,0
2025-04-01,E01028925,Shropshire 003F,1
2025-05-01,E01028925,Shropshire 003F,0
2025-06-01,E01028925,Shropshire 003F,0
2025-07-01,E01028925,Shropshire 003F,0
2025-08-01,E01028925,Shropshire 003F,0
2025-09-01,E01028925,Shropshire 003F,0
2025-10-01,E01028925,Shropshire 003F,0
2025-11-01,E01028925,Shropshire 003F,0
2025-12-01,E01028925,Shropshire 003F,0
2026-01-01,E01028925,Shropshire 003F,0
2025-01-01,W01000003,Isle of Anglesey 001A,23
2025-02-01,W01000003,Isle of Anglesey 001A,24
2025-03-01,W01000003,Isle of Anglesey 001A,11
2025-04-01,W01000003,Isle of Anglesey 001A,11
2025-05-01,W01000003,Isle of Anglesey 001A,21
2025-06-01,W01000003,Isle of Anglesey 001A,17
2025-07-01,W01000003,Isle of Anglesey 001A,16
2025-08-01,W01000003,Isle of Anglesey 001A,20
2025-09-01,W01000003,Isle of Anglesey 001A,27
2025-10-01,W01000003,Isle of Anglesey 001A,21
2025-11-01,W01000003,Isle of Anglesey 001A,12
2025-12-01,W01000003,Isle of Anglesey 001A,12
2026-01-01,W01000003,Isle of Anglesey 001A,14
2025-01-01,W01000004,Isle of Anglesey 001B,4
2025-02-01,W01000004,Isle of Anglesey 001B,4
2025-03-01,W01000004,Isle of Anglesey 001B,7
2025-04-01,W01000004,Isle of Anglesey 001B,5
2025-05-01,W01000004,Isle of Anglesey 001B,7
2025-06-01,W01000004,Isle of Anglesey 001B,2
2025-07-01,W01000004,Isle of Anglesey 001B,7
2025-08-01,W01000004,Isle of Anglesey 001B,2
2025-09-01,W01000004,Isle of Anglesey 001B,2
2025-10-01,W01000004,Isle of Anglesey 001B,8
2025-11-01,W01000004,Isle of Anglesey 001B,12
2025-12-01,W01000004,Isle of Anglesey 001B,11
2026-01-01,W01000004,Isle of Anglesey 001B,9
2025-01-01,W01000005,Isle of Anglesey 005A,6
2025-02-01,W01000005,Isle of Anglesey 005A,8
2025-03-01,W01000005,Isle of Anglesey 005A,11
2025-04-01,W01000005,Isle of Anglesey 005A,13
2025-05-01,W01000005,Isle of Anglesey 005A,5
2025-06-01,W01000005,Isle of Anglesey 005A,7
2025-07-01,W01000005,Isle of Anglesey 005A,14
2025-08-01,W01000005,Isle of Anglesey 005A,11
2025-09-01,W01000005,Isle of Anglesey 005A,6
2025-10-01,W01000005,Isle of Anglesey 005A,9
2025-11-01,W01000005,Isle of Anglesey 005A,6
2025-12-01,W01000005,Isle of Anglesey 005A,6
2026-01-01,W01000005,Isle of Anglesey 005A,8
2025-01-01,W01000006,Isle of Anglesey 006A,2
2025-02-01,W01000006,Isle of Anglesey 006A,2
2025-03-01,W01000006,Isle of Anglesey 006A,3
2025-04-01,W01000006,Isle of Anglesey 006A,3
2025-05-01,W01000006,Isle of Anglesey 006A,4
2025-06-01,W01000006,Isle of Anglesey 006A,4
2025-07-01,W01000006,Isle of Anglesey 006A,2
2025-08-01,W01000006,Isle of Anglesey 006A,2
2025-09-01,W01000006,Isle of Anglesey 006A,2
2025-10-01,W01000006,Isle of Anglesey 006A,3
2025-11-01,W01000006,Isle of Anglesey 006A,0
2025-12-01,W01000006,Isle of Anglesey 006A,3
2026-01-01,W01000006,Isle of Anglesey 006A,1
2025-01-01,W01000007,Isle of Anglesey 009A,6
2025-02-01,W01000007,Isle of Anglesey 009A,1
2025-03-01,W01000007,Isle of Anglesey 009A,6
2025-04-01,W01000007,Isle of Anglesey 009A,1
2025-05-01,W01000007,Isle of Anglesey 009A,4
2025-06-01,W01000007,Isle of Anglesey 009A,4
2025-07-01,W01000007,Isle of Anglesey 009A,3
2025-08-01,W01000007,Isle of Anglesey 009A,4
2025-09-01,W01000007,Isle of Anglesey 009A,3
2025-10-01,W01000007,Isle of Anglesey 009A,2
2025-11-01,W01000007,Isle of Anglesey 009A,1
2025-12-01,W01000007,Isle of Anglesey 009A,8
2026-01-01,W01000007,Isle of Anglesey 009A,4
2025-01-01,W01000008,Isle of Anglesey 008A,2
2025-02-01,W01000008,Isle of Anglesey 008A,4
2025-03-01,W01000008,Isle of Anglesey 008A,7
2025-04-01,W01000008,Isle of Anglesey 008A,4
2025-05-01,W01000008,Isle of Anglesey 008A,7
2025-06-01,W01000008,Isle of Anglesey 008A,2
2025-07-01,W01000008,Isle of Anglesey 008A,5
2025-08-01,W01000008,Isle of Anglesey 008A,6
2025-09-01,W01000008,Isle of Anglesey 008A,10
2025-10-01,W01000008,Isle of Anglesey 008A,5
2025-11-01,W01000008,Isle of Anglesey 008A,1
2025-12-01,W01000008,Isle of Anglesey 008A,6
2026-01-01,W01000008,Isle of Anglesey 008A,7
2025-01-01,W01000009,Isle of Anglesey 007C,2
2025-02-01,W01000009,Isle of Anglesey 007C,9
2025-03-01,W01000009,Isle of Anglesey 007C,8
2025-04-01,W01000009,Isle of Anglesey 007C,15
2025-05-01,W01000009,Isle of Anglesey 007C,18
2025-06-01,W01000009,Isle of Anglesey 007C,4
2025-07-01,W01000009,Isle of Anglesey 007C,9
2025-08-01,W01000009,Isle of Anglesey 007C,10
2025-09-01,W01000009,Isle of Anglesey 007C,17
2025-10-01,W01000009,Isle of Anglesey 007C,4
2025-11-01,W01000009,Isle of Anglesey 007C,6
2025-12-01,W01000009,Isle of Anglesey 007C,8
2026-01-01,W01000009,Isle of Anglesey 007C,8
2025-01-01,W01000010,Isle of Anglesey 002A,6
2025-02-01,W01000010,Isle of Anglesey 002A,2
2025-03-01,W01000010,Isle of Anglesey 002A,6
2025-04-01,W01000010,Isle of Anglesey 002A,7
2025-05-01,W01000010,Isle of Anglesey 002A,5
2025-06-01,W01000010,Isle of Anglesey 002A,6
2025-07-01,W01000010,Isle of Anglesey 002A,10
2025-08-01,W01000010,Isle of Anglesey 002A,3
2025-09-01,W01000010,Isle of Anglesey 002A,9
2025-10-01,W01000010,Isle of Anglesey 002A,5
2025-11-01,W01000010,Isle of Anglesey 002A,7
2025-12-01,W01000010,Isle of Anglesey 002A,3
2026-01-01,W01000010,Isle of Anglesey 002A,3
2025-01-01,W01000011,Isle of Anglesey 008B,10
2025-02-01,W01000011,Isle of Anglesey 008B,8
2025-03-01,W01000011,Isle of Anglesey 008B,8
2025-04-01,W01000011,Isle of Anglesey 008B,15
2025-05-01,W01000011,Isle of Anglesey 008B,14
2025-06-01,W01000011,Isle of Anglesey 008B,22
2025-07-01,W01000011,Isle of Anglesey 008B,17
2025-08-01,W01000011,Isle of Anglesey 008B,10
2025-09-01,W01000011,Isle of Anglesey 008B,11
2025-10-01,W01000011,Isle of Anglesey 008B,23
2025-11-01,W01000011,Isle of Anglesey 008B,11
2025-12-01,W01000011,Isle of Anglesey 008B,19
2026-01-01,W01000011,Isle of Anglesey 008B,8
2025-01-01,W01000012,Isle of Anglesey 006B,12
2025-02-01,W01000012,Isle of Anglesey 006B,21
2025-03-01,W01000012,Isle of Anglesey 006B,19
2025-04-01,W01000012,Isle of Anglesey 006B,29
2025-05-01,W01000012,Isle of Anglesey 006B,22
2025-06-01,W01000012,Isle of Anglesey 006B,21
2025-07-01,W01000012,Isle of Anglesey 006B,36
2025-08-01,W01000012,Isle of Anglesey 006B,20
2025-09-01,W01000012,Isle of Anglesey 006B,14
2025-10-01,W01000012,Isle of Anglesey 006B,28
2025-11-01,W01000012,Isle of Anglesey 006B,22
2025-12-01,W01000012,Isle of Anglesey 006B,18
2026-01-01,W01000012,Isle of Anglesey 006B,15
2025-01-01,W01000013,Isle of Anglesey 005B,2
2025-02-01,W01000013,Isle of Anglesey 005B,4
2025-03-01,W01000013,Isle of Anglesey 005B,6
2025-04-01,W01000013,Isle of Anglesey 005B,6
2025-05-01,W01000013,Isle of Anglesey 005B,4
2025-06-01,W01000013,Isle of Anglesey 005B,3
2025-07-01,W01000013,Isle of Anglesey 005B,4
2025-08-01,W01000013,Isle of Anglesey 005B,7
2025-09-01,W01000013,Isle of Anglesey 005B,9
2025-10-01,W01000013,Isle of Anglesey 005B,5
2025-11-01,W01000013,Isle of Anglesey 005B,4
2025-12-01,W01000013,Isle of Anglesey 005B,3
2026-01-01,W01000013,Isle of Anglesey 005B,4
2025-01-01,W01000014,Isle of Anglesey 006C,9
2025-02-01,W01000014,Isle of Anglesey 006C,8
2025-03-01,W01000014,Isle of Anglesey 006C,11
2025-04-01,W01000014,Isle of Anglesey 006C,13
2025-05-01,W01000014,Isle of Anglesey 006C,13
2025-06-01,W01000014,Isle of Anglesey 006C,20
2025-07-01,W01000014,Isle of Anglesey 006C,11
2025-08-01,W01000014,Isle of Anglesey 006C,28
2025-09-01,W01000014,Isle of Anglesey 006C,21
2025-10-01,W01000014,Isle of Anglesey 006C,17
2025-11-01,W01000014,Isle of Anglesey 006C,17
2025-12-01,W01000014,Isle of Anglesey 006C,11
2026-01-01,W01000014,Isle of Anglesey 006C,13
2025-01-01,W01000015,Isle of Anglesey 008C,4
2025-02-01,W01000015,Isle of Anglesey 008C,12
2025-03-01,W01000015,Isle of Anglesey 008C,5
2025-04-01,W01000015,Isle of Anglesey 008C,3
2025-05-01,W01000015,Isle of Anglesey 008C,5
2025-06-01,W01000015,Isle of Anglesey 008C,9
2025-07-01,W01000015,Isle of Anglesey 008C,5
2025-08-01,W01000015,Isle of Anglesey 008C,2
2025-09-01,W01000015,Isle of Anglesey 008C,6
2025-10-01,W01000015,Isle of Anglesey 008C,9
2025-11-01,W01000015,Isle of Anglesey 008C,11
2025-12-01,W01000015,Isle of Anglesey 008C,5
2026-01-01,W01000015,Isle of Anglesey 008C,9
2025-01-01,W01000016,Isle of Anglesey 003A,20
2025-02-01,W01000016,Isle of Anglesey 003A,43
2025-03-01,W01000016,Isle of Anglesey 003A,34
2025-04-01,W01000016,Isle of Anglesey 003A,25
2025-05-01,W01000016,Isle of Anglesey 003A,34
2025-06-01,W01000016,Isle of Anglesey 003A,35
2025-07-01,W01000016,Isle of Anglesey 003A,48
2025-08-01,W01000016,Isle of Anglesey 003A,20
2025-09-01,W01000016,Isle of Anglesey 003A,35
2025-10-01,W01000016,Isle of Anglesey 003A,18
2025-11-01,W01000016,Isle of Anglesey 003A,28
2025-12-01,W01000016,Isle of Anglesey 003A,25
2026-01-01,W01000016,Isle of Anglesey 003A,35
2025-01-01,W01000017,Isle of Anglesey 003B,17
2025-02-01,W01000017,Isle of Anglesey 003B,15
2025-03-01,W01000017,Isle of Anglesey 003B,18
2025-04-01,W01000017,Isle of Anglesey 003B,15
2025-05-01,W01000017,Isle of Anglesey 003B,13
2025-06-01,W01000017,Isle of Anglesey 003B,17
2025-07-01,W01000017,Isle of Anglesey 003B,25
2025-08-01,W01000017,Isle of Anglesey 003B,23
2025-09-01,W01000017,Isle of Anglesey 003B,7
2025-10-01,W01000017,Isle of Anglesey 003B,14
2025-11-01,W01000017,Isle of Anglesey 003B,19
2025-12-01,W01000017,Isle of Anglesey 003B,11
2026-01-01,W01000017,Isle of Anglesey 003B,26
2025-01-01,W01000018,Isle of Anglesey 001C,5
2025-02-01,W01000018,Isle of Anglesey 001C,5
2025-03-01,W01000018,Isle of Anglesey 001C,6
2025-04-01,W01000018,Isle of Anglesey 001C,5
2025-05-01,W01000018,Isle of Anglesey 001C,6
