LSOA code,LSOA name,lat_med,lon_med,n
W01000240,Denbighshire 004E,53.320423,-3.490721,869
W01000372,Wrexham 008C,53.047233,-2.996436,508
W01000062,Gwynedd 001A,53.226757,-4.125754,376
W01001931,Wrexham 012G,53.046094,-2.987475,352
W01000350,Wrexham 011B,53.045182,-3.000834,348
W01000146,Conwy 001B,53.32515,-3.831935,316
W01000169,Conwy 001D,53.322359,-3.827836,303
W01000144,Conwy 007C,53.294518,-3.724453,298
W01000186,Conwy 001E,53.319709,-3.8203639999999996,278
W01000241,Denbighshire 004F,53.315247,-3.502745,232
W01000290,Flintshire 004B,53.249731,-3.136551,226
W01000304,Flintshire 003E,53.274276,-3.221818,221
W01000239,Denbighshire 004D,53.318173,-3.49658,214
W01000315,Flintshire 016C,53.167135,-3.137514,204
W01000111,Gwynedd 007C,53.138467,-4.272712,185
W01000288,Flintshire 004A,53.248501,-3.131352,183
W01000402,Wrexham 011D,53.042648,-2.995254,175
W01000236,Denbighshire 006A,53.314635,-3.482996,170
W01000182,Conwy 007D,53.296851,-3.730454,167
W01000108,Gwynedd 012D,52.888832,-4.41802,153
W01000191,Denbighshire 009A,53.270003,-3.497703,149
W01000423,Wrexham 012D,53.038756,-2.972837,145
W01000059,Gwynedd 006A,53.142238,-4.262845,145
W01000077,Gwynedd 001C,53.230639,-4.120059,143
W01000349,Wrexham 011A,53.045958,-3.00825,143
W01000064,Gwynedd 002A,53.214855,-4.146878,142
W01000255,Flintshire 015A,53.166687,-2.977998,142
W01000016,Isle of Anglesey 003A,53.310321,-4.633308,141
W01000237,Denbighshire 006B,53.312136,-3.493231,141
W01000168,Conwy 002B,53.316879,-3.833904,141
W01001969,Wrexham 010F,53.048273,-2.969525,140
W01001928,Conwy 010H,53.294132,-3.58039,138
W01000425,Wrexham 010E,53.048427,-2.978938,137
W01000213,Denbighshire 002A,53.332534,-3.404963,134
W01000098,Gwynedd 006C,53.139069,-4.263026,133
W01000194,Denbighshire 011A,53.183781,-3.419321,129
W01000413,Wrexham 010C,53.041097,-2.972357,129
W01000178,Conwy 010E,53.286749,-3.579287,125
W01000374,Wrexham 003A,53.073414,-3.017251,120
W01000214,Denbighshire 002B,53.336407,-3.404756,119
W01000337,Flintshire 009F,53.212808,-3.040681,118
W01000093,Gwynedd 006B,53.14254,-4.274345,117
W01000336,Flintshire 009E,53.20638,-3.032749,116
W01000184,Conwy 005E,53.301172,-3.54118,116
W01001971,Wrexham 022D,53.034681,-2.933632,114
W01000365,Wrexham 011C,53.041737,-2.994514,114
W01000274,Flintshire 007B,53.218544,-3.057252,111
W01000187,Conwy 002C,53.314195,-3.82567,109
W01000156,Conwy 004B,53.310557,-3.741195,108
W01000056,Gwynedd 009A,52.993131,-3.94284,107
W01000234,Denbighshire 017G,53.315096,-3.4594,103
W01000029,Isle of Anglesey 003C,53.303199,-4.620961,103
W01000243,Denbighshire 014B,53.115673,-3.31077,101
W01000333,Flintshire 009B,53.214365,-3.011124,100
W01000393,Wrexham 023G,53.0512595,-2.985979,100
W01000293,Flintshire 004D,53.241467,-3.122649,98
W01000012,Isle of Anglesey 006B,53.255209,-4.308657,97
W01000163,Conwy 009E,53.287183,-3.675692,97
W01000332,Flintshire 009A,53.218168,-3.005562,97
W01000134,Conwy 015B,53.138348,-3.796023,96
W01000283,Flintshire 008E,53.214191,-3.04867,95
W01000409,Wrexham 017E,52.983391,-3.059761,94
W01000041,Isle of Anglesey 006D,53.257323,-4.299269,94
W01000092,Gwynedd 001E,53.226021,-4.134853,93
W01000030,Isle of Anglesey 003D,53.3064,-4.63587,92
W01000151,Conwy 005C,53.30401,-3.513441,91
W01000106,Gwynedd 010D,52.928622,-4.135213,91
W01000328,Flintshire 011C,53.200421,-3.010208,91
W01000166,Conwy 006D,53.28549,-3.810108,89
W01000320,Flintshire 002B,53.307419,-3.256386,89
W01000128,Conwy 009C,53.289681,-3.692181,89
W01000138,Conwy 008A,53.287166,-3.702543,88
W01002007,Isle of Anglesey 004G,53.282304499999995,-4.562721,88
W01000306,Flintshire 002A,53.279437,-3.23707,88
W01000139,Conwy 007A,53.288248,-3.706453,88
W01000102,Gwynedd 002E,53.20902,-4.159825,87
W01000003,Isle of Anglesey 001A,53.409392,-4.344184,86
W01000105,Gwynedd 010C,52.928125,-4.131411,83
W01000411,Wrexham 015C,53.011701,-3.057779,83
W01000335,Flintshire 009D,53.202722,-3.038003,83
W01000406,Wrexham 013C,53.001588,-3.061553,83
